n,name,detail,type,principle1,principle2,principle3,principle4,principle5,value,linked-cards
1,Develop guidelines,Core regulatory framework for AI governance,strategy,1,1,1,1,1,1,
2,Ban some uses of or types of AI,Restrict specific harmful AI applications,strategy,1,1,1,1,1,1,
3,Provide learning opportunities for teachers / students / school leaders,Educational support for stakeholders,strategy,0,3,1,0,1,2,
4,Provide non-AI alternatives to the technology to do the same tasks.,Ensure access without AI dependency,strategy,0,3,0,0,0,2,
5,Change how the AI / tool is used,,strategy,0,3,0,0,0,2,
6,"Invest in a tool / person e.g., to collect / explore data, create policy, implement changes, etc.",,strategy,0,0,2,0,1,2,
7,Require tool providers to provide evidence of how effective or ‘ethical’ they are,,strategy,0,0,3,0,2,3,
8,Go back to the status quo,,strategy,999,999,999,999,999,2,
9,Involve stakeholders in decision making around the problem or/and use of AI,,strategy,1,1,1,3,1,3,
10,Introduce rewards / penalties for good / bad use of AI,,strategy,1,1,0,1,1,1,
11,Establish an oversight body or system to monitor the impacts of AI,,strategy,1,0,1,0,1,1,
12,Share examples of good / problematic practice,,strategy,0,0,0,0,1,1,
13,Advocate for change to a relevant stakeholder/s,,strategy,0,1,0,1,0,1,
14,"Seek school sponsorship / partnership with an external partner (e.g., EdTech company).",,strategy,-1,1,1,1,-1,-1,
15,Create a tool to support users monitor the energy and water consumption of their AI use.,,strategy,2,0,0,2,2,2,
16,Require annual reporting and ongoing monitoring of emerging impacts of tools,,strategy,2,0,3,2,2,3,
17,Teacher quality,System to identify learners needing support,challenge,1,1,0,0,1,3,31
18,Workload,Reducing teacher burden equitably,challenge,0,1,0,2,0,1,
19,Formative feedback at scale,Providing meaningful feedback to all students,challenge,0,1,1,0,1,3,
20,Differentiation,AI for enrichment and class streaming,challenge,0,0,0,1,2,2,
21,Digital skills,Building digital literacy for all,challenge,0,1,0,2,0,1,
22,Engagement,Tracking learning engagement authentically,challenge,0,1,0,0,2,1,
23,Careers guidance,AI career guidance tool,challenge,0,0,0,0,0,1,
24,Meeting accessibility obliations,Your school is legally required to provide accessible materials for all students...,challenge,0,1,0,0,2,3,
25,Personalised learning,Adaptive Learning Platforms: This AI-driven platform personalizes instruction for each student...,challenge,0,1,0,0,1,2,
26,Wellbeing,AI-Driven Counseling Support: A new AI system helps school counselors identify students in need of emotional support early...,challenge,0,0,2,0,1,2,
27,Privacy breach,Unauthorized access to student data,event,0,-3,0,0,0,NA,
28,Does everyone in the school know how the AI system works?,System transparency question,event,-3,0,0,0,0,NA,
29,Can the AI system do what the EdTech company says it can?,System capability verification,event,0,-3,0,0,0,NA,
30,Pandemic,Global health crisis affecting education,event,0,0,-3,-3,0,NA,
31,Who is accountable for performance,Are humans involved in assessing performance,event,-1,-3,0,-2,0,NA,
32,AI contested,"If a student/teacher disagrees with the outcome that an AI provides, what can they do in your school?",event,-3,0,0,0,0,NA,
33,Wider-impacts,"What impacts might using this AI system have on other stakeholders? (E.g., parents, teachers, school leaders, wider community)",event,0,0,-3,0,0,NA,
34,long-range impacts,"Imagine the system has been in place for longer than 5 years: Will the system have improved? Who will benefit from those improvements? Who ""owns"" the knowledge that led to those improvements? Will how the system is used have changed? Will human expertise and agency be retained? What impact will using the AI system have on longer term issues?",event,-3,0,0,0,0,NA,
35,who cares,"Does the system tackle an issue or problem everyone thinks is important? If not, how has this happened?",event,0,0,0,-2,-2,NA,
36,who can access the system,"According to the latest Australian Digital Inclusion Index (ADII), almost a quarter of Australians are digitally excluded – meaning they don’t have access to essential technology.",event,0,0,0,0,-3,NA,
37,energy-use,"Did you know: a ChatGPT request uses roughly 10 times a Google search query; and cooling data centres for AI uses water, with increased demand.",event,-3,0,0,0,-2,NA,
38,intergenerational-issues,"Intergenerational fairness describes issues relating to how burdens and benefits impact different generations, including long-range harms for present-day decisions.",event,-3,0,0,0,0,NA,
39,fairness,Imagine that AI is being used to solve a long-standing fairness issue in your school. How might this change how you think about the use of AI in your scenario?,event,1,-1,0,1,-1,NA,
40,pedagogic calcification,stagnation,event,-3,0,0,0,0,NA,
41,poor use,poor use,event,0,0,0,0,-2,NA,
